record_code,format_version,submission_date,reporting_agency,sampling_agency,catch_sample_id,species,catch_year,period_type,period,first_period,last_period,fishery,adclip_selective_fishery,estimation_level,catch_location_code,detection_method,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,number_caught,escapement_estimation_method,number_sampled,number_cwt_estimated,number_recovered_decoded,number_recovered_no_cwts,number_recovered_lost_cwts,number_recovered_unreadable,number_recovered_unresolved,number_recovered_not_processed,number_recovered_pseudotags,mr_1st_partition_size,mr_1st_sample_size,mr_1st_sample_known_ad_status,mr_1st_sample_obs_adclips,mr_2nd_partition_size,mr_2nd_sample_size,mr_2nd_sample_known_ad_status,mr_2nd_sample_obs_adclips,mark_rate,awareness_factor,sport_mark_incidence_sampl_size,sport_mark_inc_sampl_obs_adclips,catch_location_name,record_origin
"S","4.2","20210915","USFWS","USFWS","2014130201","1","2014","7","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","75",,"9","2.22","8","1","0","0","0","0","0","75","75","74","20",,,,,"0.2703",,,,"COLEMAN NFH","N"
"S","4.2","20210915","USFWS","USFWS","2014130202","1","2014","7","02",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","1798",,"419","1","414","5","0","0","0","0","0","1798","1798","1797","418",,,,,"0.2326",,,,"COLEMAN NFH","N"
"S","4.2","20210915","USFWS","USFWS","2014130203","1","2014","7","03",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","738",,"147","1","145","2","0","0","0","0","0","738","738","738","147",,,,,"0.1992",,,,"COLEMAN NFH","N"
"S","4.2","20210915","USFWS","USFWS","2014130204","1","2014","7","04",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","283",,"60","1.03","60","0","0","0","0","0","0","283","283","283","62",,,,,"0.2191",,,,"COLEMAN NFH","N"
"S","4.2","20150415","USFWS","USFWS","20101302","1","2010","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","17238",,"17238",,"4040","58","11","29",,"2",,"17238","17238","17238","4140",,,,,"0.2402",,,,"COLEMAN NFH","N"
"S","4.2","20150415","USFWS","USFWS","20101702","1","2010","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","5489",,"5489",,"4922","98","22","1",,,,"5489","5489","5488","4980",,,,,"0.9074",,,,"COLEMAN NFH","N"
"S","4.2","20150511","USFWS","USFWS","20121302","1","2012","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","86249",,"86249","4.78","4370","67","24","11","0","4","0","86249","86249","86223","21224",,,,,"0.2462",,,,"COLEMAN NFH","N"
"S","4.2","20150511","USFWS","USFWS","20121309","1","2012","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"18",,"2","0","0","0","0","0","0","18","18","17","2",,,,,"0.1176",,,,"CLEAR CREEK","N"
"S","4.2","20150511","USFWS","USFWS","20121702","1","2012","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","2826",,"2826",,"2715","33","7","1","0","0","0","2826","2826","2787","2759",,,,,"0.99",,,,"COLEMAN NFH","N"
"S","4.2","20150511","USFWS","USFWS","20121706","1","2012","1","01",,,"54","N","6","6FCSABAT","V","1","4",,,,"5000","29",,"29",,"27","1","1","0","0","0","0","29","29","29","29",,,,,"1",,,,"BATTLE CREEK BELOW CNFH","N"
"S","4.2","20150511","USFWS","USFWS","20121717","1","2012","1","01",,,"54","N",,"6FCSACOT","V","4","4",,,,"5000",,,"284",,"67","12","1","0","0","1","0","284","284","271","81",,,,,"0.2509",,,,"COTTONWOOD CREEK","N"
"S","4.2","20150511","USFWS","USFWS","20121305","1","2012","1","01",,,"54","N",,"6FCSABAT","V","4","4",,,,"5000",,,"93",,"9","8","0","0","0","0","0","93","93","81","12",,,,,"0.1481",,,,"BATTLE CREEK BELOW CNFH","N"
"S","4.2","20150511","USFWS","USFWS","20121311","1","2012","1","01",,,"54","N",,"6FCSACLR","V","4","4",,,,"5000",,,"28",,"2","1","0","0","0","0","0","28","28","27","3",,,,,"0.1111",,,,"CLEAR CREEK","N"
"S","4.2","20160620","USFWS","USFWS","20081710","1","2008","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"2",,"1",,"1",,,,,"2","2","1","1",,,,,"1",,,,"CLEAR CREEK","N"
"S","4.2","20160620","USFWS","USFWS","20081708","1","2008","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"23",,"9","7",,,,,,"23","23","16","10",,,,,"0.625",,,,"CLEAR CREEK","N"
"S","4.2","20160620","USFWS","USFWS","20081311","1","2008","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"32",,,"1",,,,,,"32","32","31","0",,,,,"0",,,,"CLEAR CREEK","N"
"S","4.2","20160620","USFWS","USFWS","20081309","1","2008","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"39",,,"2",,,,,,"39","39","37","0",,,,,"0",,,,"CLEAR CREEK","N"
"S","4.2","20160621","USFWS","USFWS","20091302","1","2009","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","6154",,"6154",,"1279","39","6","3","0","0","0","6154","6154","6135","1489",,,,,"0.2427",,,,"COLEMAN NFH","N"
"S","4.2","20160621","USFWS","USFWS","20091702","1","2009","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","6500",,"6500",,"6091","178","62","24","0","0","0","6500","6500","6499","6355",,,,,"0.9778",,,,"COLEMAN NFH","N"
"S","4.2","20160621","USFWS","USFWS","20091311","1","2009","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"67",,"3","0","0","0","0","0","0","67","67","67","3",,,,,"0.5",,,,"CLEAR CREEK","N"
"S","4.2","20160621","USFWS","USFWS","20091708","1","2009","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"97",,"55","4","3","0","0","0","0","97","97","84","62",,,,,"0.7381",,,,"CLEAR CREEK","N"
"S","4.2","20160622","USFWS","USFWS","20071302","1","2007","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","11778",,"11778","1","137","21","1","0","0","0","0","11778","11778","11777","158",,,,,"0.0134",,,,"COLEMAN NFH","N"
"S","4.2","20160622","USFWS","USFWS","20071708","1","2007","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"12",,"1","1","0","0","0","0","0","12","12","11","4",,,,,,,,,"CLEAR CREEK","N"
"S","4.2","20160622","USFWS","USFWS","20071715","1","2007","1","01",,,"54","N","6","6FCSABAT ACNH","V","4","4",,,,"5000",,,"3",,"2","1","0","0","0","0","0","3","3","3","0",,,,,,,,,"BATTLE CREEK ABOVE CNFH","N"
"S","4.2","20160622","USFWS","USFWS","20071311","1","2007","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"32",,"0","2","0","0","0","0","0","32","32","31","1",,,,,,,,,"CLEAR CREEK","N"
"S","4.2","20160622","USFWS","USFWS","20071706","1","2007","1","01",,,"54","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","331",,"331","1","213","12","4","0","0","0","0","331","331","331","229",,,,,"0.6918",,,,"COLEMAN NFH","N"
"S","4.2","20160622","USFWS","USFWS","20071702","1","2007","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","3386",,"3386","1","2864","106","27","6","0","0","0","3386","3386","3385","3002",,,,,"0.8868",,,,"COLEMAN NFH","N"
"S","4.2","20160622","USFWS","USFWS","20071714","1","2007","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"34",,"0","1","0","0","0","0","0","34","34","33","0",,,,,,,,,"CLEAR CREEK","N"
"S","4.2","20160622","USFWS","USFWS","20071309","1","2007","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"44",,"3","6","0","0","0","0","0","44","44","34","3",,,,,"0.0682",,,,"CLEAR CREEK","N"
"S","4.2","20160622","USFWS","USFWS","20071305","1","2007","1","01",,,"54","N","6","6FCSABAT CNFH","V","4","4",,,,"5000",,,"47",,"0","5","0","0","0","0","0","47","47","39","0",,,,,,,,,"COLEMAN NFH","N"
"S","4.2","20140421","USFWS","USFWS","COL1993CO7","1","1993","1","01",,,"50",,"6","6FCSABAT CNFH","V","1","4","7",,,,"779",,"799","1","325","19","2","1","0","0",,"799","799","799","347",,,,,,,,,"COLEMAN NFH","N"
"S","4.2","20140421","USFWS","USFWS","COL1993CO3","1","1993","1","01",,,"50",,"6","6FCSABAT CNFH","V","1","4","3",,,,"7588",,"7588","1","216","19","0","0","0","0",,"7588","7588","7588","235",,,,,,,,,"COLEMAN NFH","N"
"S","4.2","20160707","USFWS","USFWS","20061706","1","2006","1","01",,,"54","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","302",,"302",,"155","7","2","0","0","0","0","302","302","302","164",,,,,"0.543",,,,"COLEMAN NFH","N"
"S","4.2","20160707","USFWS","USFWS","20061309","1","2006","1","01",,,"54","N","6","6FCSACLR","V","4","4",,,,"5000",,,"39",,"0","3","0","0","0","0","0","39","39","35","1",,,,,"0.0286",,,,"CLEAR CREEK","N"
"S","4.2","20160707","USFWS","USFWS","20061305","1","2006","1","01",,,"54","N","6","6FCSABAT ACNH","V","4","4",,,,"5000",,,"45",,"1","2","0","0","0","0","0","45","45","42","1",,,,,"0.0238",,,,"BATTLE CREEK ABOVE CNFH","N"
"S","4.2","20160707","USFWS","USFWS","20061702","1","2006","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","5114",,"5114",,"4218","167","42","25","0","0","0","5114","5114","5112","4451",,,,,"0.8707",,,,"COLEMAN NFH","N"
"S","4.2","20160707","USFWS","USFWS","20061302","1","2006","1","01",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","57711",,"57711",,"444","55","13","9","0","0","0","57711","57711","57700","510",,,,,"0.0088",,,,"COLEMAN NFH","N"
